State,District,Crop,Season,SowingMonth,Area(ha),N(kg/ha),P(kg/ha),K(kg/ha),SoilType,AnnualRainfall(mm),AvgTemperature(C),Yield(t/ha)
Maharashtra,Nashik,Rice,Annual,November,9.63,161,48,85,Sandy,1191,24.6,43.97
Uttar Pradesh,Lucknow,Sugarcane,Zaid,July,7.34,109,74,97,Black,862,22.3,319.96
Andhra Pradesh,Guntur,Tomato,Kharif,August,1.45,141,56,55,Clay,529,21.8,178.23
Andhra Pradesh,Kurnool,Sugarcane,Annual,February,3.59,95,42,82,Sandy,657,33.1,233.23
Karnataka,Mysore,Wheat,Annual,August,8.35,72,52,87,Loamy,714,21.3,26.2
West Bengal,Kolkata,Tomato,Rabi,August,7.28,124,67,71,Loamy,922,21.8,192.76
Karnataka,Mysore,Sugarcane,Zaid,November,4.81,139,45,75,Black,404,34.0,308.15
Uttar Pradesh,Varanasi,Rice,Rabi,April,5.05,183,76,76,Loamy,406,23.6,44.92
Uttar Pradesh,Lucknow,Wheat,Kharif,September,3.6,76,88,95,Clay,1194,27.3,39.96
West Bengal,Darjeeling,Rice,Zaid,June,3.74,114,87,45,Red,581,28.1,26.35
Karnataka,Mysore,Tomato,Rabi,December,1.23,118,52,34,Red,825,25.3,144.03
Karnataka,Mysore,Sugarcane,Rabi,March,9.09,118,52,83,Sandy,654,27.6,319.22
Uttar Pradesh,Varanasi,Cotton,Kharif,September,5.84,73,65,83,Sandy,494,28.8,27.18
West Bengal,Darjeeling,Tomato,Kharif,December,2.96,81,43,49,Red,862,29.4,147.3
Punjab,Patiala,Tomato,Zaid,July,8.35,66,33,99,Loamy,961,20.5,161.88
Andhra Pradesh,Guntur,Rice,Kharif,September,2.5,119,57,75,Loamy,698,28.6,35.1
Tamil Nadu,Madurai,Sugarcane,Rabi,November,4.74,123,43,85,Red,857,29.7,265.87
Maharashtra,Nashik,Corn,Zaid,December,6.52,138,60,21,Sandy,781,28.9,25.19
Andhra Pradesh,Kurnool,Cotton,Rabi,November,9.64,89,72,79,Red,511,31.2,25.71
Karnataka,Belgaum,Sugarcane,Annual,December,6.09,118,62,66,Clay,961,32.4,354.2
West Bengal,Darjeeling,Cotton,Kharif,July,6.21,109,41,38,Clay,857,29.1,24.09
Tamil Nadu,Salem,Corn,Zaid,June,4.0,125,96,36,Sandy,1008,31.4,31.78
Karnataka,Mandya,Wheat,Zaid,May,2.46,143,36,56,Red,964,34.4,27.06
Uttar Pradesh,Kanpur,Sugarcane,Annual,March,3.58,100,81,30,Clay,1065,26.4,294.72
West Bengal,Howrah,Wheat,Rabi,February,7.14,175,39,90,Black,444,25.0,32.77
Maharashtra,Pune,Wheat,Kharif,January,2.65,135,44,98,Sandy,1097,26.2,34.33
Maharashtra,Pune,Sugarcane,Annual,May,5.74,83,95,39,Loamy,943,21.3,311.3
Karnataka,Mysore,Corn,Annual,October,8.19,151,59,88,Black,962,22.7,33.99
Maharashtra,Nashik,Sugarcane,Kharif,September,2.84,75,53,20,Clay,1170,29.4,225.75
Karnataka,Mandya,Cotton,Zaid,September,5.34,73,55,44,Sandy,510,27.8,20.26
Tamil Nadu,Salem,Sugarcane,Kharif,December,6.75,183,85,100,Black,939,20.1,473.99
Punjab,Ludhiana,Tomato,Rabi,February,1.91,74,91,76,Red,1112,33.1,152.26
Tamil Nadu,Madurai,Tomato,Kharif,April,1.03,87,39,94,Red,1101,20.6,175.29
West Bengal,Howrah,Wheat,Annual,May,9.63,96,34,96,Black,573,34.1,34.0
West Bengal,Kolkata,Tomato,Zaid,February,2.2,98,42,80,Clay,594,23.6,140.4
Karnataka,Mysore,Sugarcane,Annual,August,2.18,195,73,33,Red,1017,25.7,424.94
Uttar Pradesh,Varanasi,Corn,Zaid,August,5.45,155,37,41,Loamy,1140,30.5,34.32
Andhra Pradesh,Nellore,Wheat,Annual,July,5.74,60,40,45,Sandy,733,32.6,25.17
Andhra Pradesh,Guntur,Wheat,Zaid,June,7.63,196,98,49,Black,834,21.5,34.75
Tamil Nadu,Madurai,Tomato,Annual,March,6.45,128,51,51,Sandy,878,22.7,206.16
Tamil Nadu,Salem,Wheat,Rabi,January,7.26,162,79,60,Loamy,664,24.9,37.96
Uttar Pradesh,Lucknow,Cotton,Annual,April,2.85,108,65,51,Loamy,475,31.2,25.07
Punjab,Ludhiana,Wheat,Rabi,January,5.09,179,47,66,Clay,449,27.6,33.86
Punjab,Amritsar,Rice,Annual,July,8.34,120,45,94,Black,990,33.9,39.32
Karnataka,Mandya,Rice,Rabi,November,1.46,132,90,68,Clay,1136,26.6,35.84
West Bengal,Howrah,Wheat,Annual,May,2.67,86,64,89,Red,806,20.8,24.31
Karnataka,Belgaum,Rice,Rabi,November,6.97,181,54,25,Clay,625,28.5,27.69
Andhra Pradesh,Guntur,Tomato,Rabi,September,5.82,105,90,31,Black,705,33.1,175.16
Andhra Pradesh,Guntur,Sugarcane,Annual,April,1.55,115,89,63,Red,679,34.9,259.56
West Bengal,Darjeeling,Sugarcane,Annual,June,3.61,123,35,49,Loamy,922,30.4,246.13
Uttar Pradesh,Varanasi,Corn,Annual,February,8.05,110,59,100,Loamy,968,25.3,36.22
West Bengal,Darjeeling,Corn,Annual,November,8.18,71,88,73,Loamy,1106,21.3,36.87
Maharashtra,Nagpur,Sugarcane,Kharif,November,2.88,114,33,56,Clay,1043,34.0,242.76
Punjab,Amritsar,Cotton,Annual,January,5.85,61,37,61,Clay,1136,21.3,20.12
Uttar Pradesh,Lucknow,Wheat,Zaid,July,8.09,145,97,44,Clay,1136,22.9,34.23
Uttar Pradesh,Varanasi,Rice,Rabi,September,8.43,147,89,90,Clay,465,24.3,37.37
West Bengal,Howrah,Wheat,Rabi,September,4.95,171,98,83,Clay,832,27.9,47.94
Karnataka,Belgaum,Corn,Kharif,April,1.58,193,95,55,Clay,1092,32.4,33.46
Andhra Pradesh,Kurnool,Wheat,Kharif,July,8.07,114,58,38,Clay,451,26.6,24.74
Punjab,Ludhiana,Tomato,Kharif,January,5.24,112,75,30,Red,976,23.1,184.79
Uttar Pradesh,Varanasi,Wheat,Kharif,September,4.4,64,61,76,Red,1158,32.3,28.41
Tamil Nadu,Madurai,Tomato,Annual,August,6.74,53,65,62,Black,831,29.9,154.31
Tamil Nadu,Salem,Rice,Zaid,February,1.95,113,44,52,Black,484,23.6,27.5
West Bengal,Kolkata,Wheat,Rabi,August,3.53,59,38,49,Loamy,783,33.5,18.97
Karnataka,Belgaum,Wheat,Rabi,July,6.2,190,80,61,Black,740,24.9,43.11
Maharashtra,Nagpur,Cotton,Rabi,February,5.07,138,67,24,Black,710,26.9,24.66
Tamil Nadu,Madurai,Tomato,Annual,December,2.95,91,56,74,Loamy,612,33.4,178.42
Tamil Nadu,Salem,Rice,Annual,November,9.27,56,76,41,Sandy,869,25.5,23.65
Andhra Pradesh,Nellore,Wheat,Rabi,March,6.63,123,75,96,Red,751,28.7,29.69
Punjab,Patiala,Wheat,Zaid,December,3.89,75,64,26,Loamy,636,22.6,25.76
Uttar Pradesh,Varanasi,Wheat,Zaid,June,8.58,166,92,65,Red,1164,34.9,37.66
West Bengal,Howrah,Tomato,Zaid,August,7.71,83,69,65,Red,1168,33.3,221.26
West Bengal,Darjeeling,Rice,Rabi,August,5.13,118,94,41,Loamy,464,27.4,34.31
Punjab,Amritsar,Sugarcane,Kharif,August,7.24,192,61,92,Red,1049,26.4,499.64
West Bengal,Kolkata,Rice,Annual,July,8.67,116,42,51,Sandy,712,20.8,32.06
West Bengal,Kolkata,Sugarcane,Zaid,November,7.28,156,33,27,Clay,781,25.3,349.28
Maharashtra,Nashik,Sugarcane,Annual,July,4.42,183,73,58,Clay,1056,26.9,348.43
Maharashtra,Pune,Sugarcane,Annual,September,6.19,139,73,77,Loamy,708,27.1,367.07
West Bengal,Darjeeling,Sugarcane,Kharif,June,7.97,179,31,83,Red,629,28.5,409.42
Andhra Pradesh,Nellore,Wheat,Annual,January,2.35,160,61,38,Clay,760,32.4,29.86
Maharashtra,Nashik,Cotton,Rabi,November,9.83,191,42,70,Clay,861,27.2,40.37
Punjab,Amritsar,Rice,Rabi,February,2.55,82,60,25,Red,1016,28.0,25.27
Tamil Nadu,Salem,Cotton,Zaid,May,7.95,175,49,78,Black,948,22.0,35.52
Maharashtra,Nagpur,Sugarcane,Annual,October,1.38,154,46,84,Sandy,1187,23.2,294.21
Karnataka,Belgaum,Sugarcane,Annual,December,6.75,62,36,28,Loamy,483,22.7,153.62
Andhra Pradesh,Kurnool,Cotton,Zaid,September,9.09,191,78,81,Black,1085,22.1,46.66
Uttar Pradesh,Lucknow,Corn,Rabi,July,1.22,107,64,47,Sandy,460,26.0,21.57
Tamil Nadu,Salem,Cotton,Kharif,February,9.79,92,85,93,Loamy,480,28.6,32.84
Maharashtra,Nashik,Tomato,Rabi,April,7.77,189,65,83,Sandy,422,24.8,214.18
Uttar Pradesh,Kanpur,Cotton,Annual,August,8.75,182,87,59,Clay,1155,27.1,35.43
Tamil Nadu,Salem,Cotton,Annual,August,1.7,72,80,20,Red,1060,20.7,27.23
Karnataka,Mysore,Rice,Rabi,April,7.5,110,51,53,Sandy,512,21.8,32.71
Tamil Nadu,Madurai,Tomato,Rabi,September,8.09,79,43,32,Sandy,515,33.6,142.62
Maharashtra,Nashik,Wheat,Kharif,October,9.62,63,96,76,Clay,470,31.9,25.2
Maharashtra,Pune,Corn,Zaid,December,2.13,95,38,69,Clay,499,34.8,21.21
Andhra Pradesh,Kurnool,Corn,Annual,June,1.8,176,78,80,Loamy,971,24.2,45.38
Andhra Pradesh,Kurnool,Tomato,Zaid,May,9.33,119,56,94,Clay,704,32.6,206.3
Karnataka,Belgaum,Tomato,Rabi,September,6.1,152,95,55,Loamy,1108,27.3,207.1
Maharashtra,Nashik,Cotton,Zaid,January,5.81,198,65,95,Sandy,613,29.6,48.14
Karnataka,Belgaum,Cotton,Zaid,November,8.15,172,33,62,Red,1103,24.4,38.25
Uttar Pradesh,Kanpur,Rice,Annual,December,3.89,64,64,57,Clay,1177,22.9,22.28
Andhra Pradesh,Guntur,Rice,Zaid,August,4.85,93,52,55,Black,508,30.4,28.22
Punjab,Patiala,Wheat,Rabi,February,3.89,104,53,65,Sandy,753,30.4,25.13
Maharashtra,Nagpur,Corn,Annual,December,1.23,65,45,82,Sandy,1040,32.2,23.28
Tamil Nadu,Thanjavur,Cotton,Zaid,January,1.8,71,96,25,Red,926,22.9,23.9
Andhra Pradesh,Guntur,Wheat,Rabi,February,3.01,118,51,32,Sandy,528,24.7,23.72
Tamil Nadu,Madurai,Tomato,Rabi,November,2.56,53,75,40,Loamy,488,27.1,115.02
Maharashtra,Nagpur,Rice,Kharif,November,2.85,159,50,95,Red,834,28.9,36.5
West Bengal,Howrah,Corn,Rabi,February,6.07,179,42,31,Sandy,667,20.0,26.69
Karnataka,Mysore,Cotton,Zaid,December,3.13,194,57,94,Sandy,1190,20.0,49.68
Karnataka,Mysore,Wheat,Annual,January,4.5,99,72,84,Clay,664,24.3,36.75
West Bengal,Kolkata,Cotton,Zaid,April,6.16,68,49,62,Clay,1047,34.9,23.42
Andhra Pradesh,Guntur,Tomato,Rabi,January,8.52,72,54,45,Black,788,25.3,156.29
Andhra Pradesh,Guntur,Cotton,Kharif,September,4.75,139,62,52,Red,582,34.5,32.52
Andhra Pradesh,Guntur,Sugarcane,Zaid,July,7.26,115,42,58,Sandy,460,31.5,296.02
Andhra Pradesh,Nellore,Cotton,Rabi,December,9.37,181,42,66,Red,410,29.1,40.89
Andhra Pradesh,Guntur,Corn,Rabi,February,6.42,188,44,80,Loamy,524,28.7,34.53
Uttar Pradesh,Lucknow,Rice,Kharif,October,3.67,51,81,96,Red,1156,29.0,24.61
Punjab,Ludhiana,Wheat,Zaid,March,9.77,120,84,83,Black,928,27.7,41.15
Uttar Pradesh,Lucknow,Cotton,Rabi,December,1.11,180,99,50,Black,504,25.6,29.19
Andhra Pradesh,Guntur,Tomato,Rabi,August,9.44,120,100,90,Red,913,22.4,255.58
Tamil Nadu,Salem,Wheat,Zaid,August,1.29,116,65,26,Loamy,425,27.9,21.02
Tamil Nadu,Salem,Tomato,Rabi,October,1.33,111,87,46,Clay,530,26.7,167.11
Uttar Pradesh,Varanasi,Rice,Annual,June,2.28,128,39,59,Loamy,711,21.1,30.69
Maharashtra,Nashik,Cotton,Zaid,September,3.78,176,54,80,Clay,992,32.9,36.7
Karnataka,Mandya,Sugarcane,Kharif,October,3.06,135,74,83,Loamy,1074,31.8,381.14
Karnataka,Mysore,Corn,Annual,June,8.73,153,67,22,Black,500,30.4,32.7
Punjab,Patiala,Rice,Kharif,July,6.25,170,94,82,Loamy,1019,20.2,43.59
Tamil Nadu,Madurai,Cotton,Kharif,April,7.2,185,48,86,Loamy,489,20.3,37.73
Maharashtra,Nagpur,Tomato,Rabi,October,2.24,111,34,78,Sandy,1103,32.5,152.57
Andhra Pradesh,Kurnool,Corn,Zaid,December,4.81,52,47,67,Loamy,1067,28.2,21.52
Karnataka,Mandya,Cotton,Kharif,February,1.37,138,84,25,Sandy,622,24.2,28.7
Andhra Pradesh,Nellore,Rice,Annual,July,2.63,158,43,97,Loamy,543,22.4,33.83
West Bengal,Kolkata,Tomato,Kharif,July,9.86,88,83,70,Red,894,27.5,167.36
Uttar Pradesh,Lucknow,Sugarcane,Annual,July,1.05,146,33,46,Loamy,459,27.6,234.59
Uttar Pradesh,Kanpur,Tomato,Kharif,July,2.58,185,95,70,Red,492,34.9,198.54
West Bengal,Kolkata,Rice,Kharif,February,5.21,190,73,99,Loamy,954,34.3,41.55
Maharashtra,Nashik,Cotton,Kharif,November,9.24,82,94,80,Sandy,689,23.6,38.37
Tamil Nadu,Madurai,Rice,Zaid,June,5.35,78,53,57,Sandy,665,21.2,20.35
Tamil Nadu,Thanjavur,Sugarcane,Kharif,August,9.18,64,76,42,Black,468,20.4,296.63
Uttar Pradesh,Kanpur,Sugarcane,Zaid,January,4.46,172,48,45,Black,1109,26.8,345.57
Tamil Nadu,Madurai,Corn,Zaid,September,8.1,166,57,89,Clay,1184,29.7,43.15
Maharashtra,Nagpur,Tomato,Zaid,January,3.14,102,73,32,Clay,820,30.2,171.16
Andhra Pradesh,Kurnool,Rice,Zaid,October,6.74,117,62,83,Red,925,22.1,39.66
Andhra Pradesh,Guntur,Rice,Kharif,February,1.71,196,76,51,Red,407,24.4,34.8
Karnataka,Mysore,Wheat,Kharif,July,6.45,101,79,48,Clay,855,25.0,24.46
Uttar Pradesh,Varanasi,Corn,Kharif,May,8.05,102,53,81,Clay,1199,20.8,34.78
West Bengal,Howrah,Corn,Annual,May,3.85,110,79,84,Red,423,26.6,31.38
Maharashtra,Pune,Sugarcane,Rabi,July,1.01,51,72,63,Sandy,832,34.3,204.88
West Bengal,Howrah,Tomato,Rabi,August,3.2,76,60,71,Black,555,34.6,130.97
Uttar Pradesh,Lucknow,Cotton,Annual,November,2.4,149,99,20,Loamy,546,20.2,24.89
Maharashtra,Nashik,Corn,Zaid,January,6.41,63,58,43,Loamy,1142,22.7,21.57
West Bengal,Howrah,Sugarcane,Annual,December,5.12,115,53,90,Clay,1089,20.1,305.21
Tamil Nadu,Thanjavur,Sugarcane,Zaid,September,3.37,154,74,92,Red,1055,24.4,445.5
Uttar Pradesh,Varanasi,Wheat,Rabi,July,4.94,139,80,57,Black,1068,31.8,39.88
Maharashtra,Pune,Sugarcane,Rabi,December,8.75,58,61,61,Sandy,428,30.0,260.24
Maharashtra,Nagpur,Sugarcane,Rabi,February,2.42,123,36,74,Sandy,658,27.1,303.72
West Bengal,Darjeeling,Cotton,Zaid,January,4.27,160,71,28,Loamy,866,24.5,31.21
Andhra Pradesh,Nellore,Cotton,Kharif,July,5.28,69,47,63,Black,769,22.6,28.86
Andhra Pradesh,Nellore,Corn,Annual,July,9.16,119,47,95,Clay,468,33.9,29.67
Tamil Nadu,Thanjavur,Sugarcane,Kharif,August,2.62,78,92,58,Black,505,22.9,250.83
Maharashtra,Pune,Wheat,Kharif,November,7.61,102,93,80,Black,747,20.4,40.86
Andhra Pradesh,Guntur,Tomato,Rabi,September,8.61,94,54,26,Black,820,21.0,146.32
Tamil Nadu,Salem,Rice,Kharif,April,9.8,84,50,87,Red,974,20.7,28.03
Andhra Pradesh,Nellore,Rice,Kharif,March,4.52,160,38,60,Red,685,21.7,25.61
Andhra Pradesh,Guntur,Rice,Rabi,September,4.44,190,66,94,Clay,719,30.9,39.31
Karnataka,Mysore,Wheat,Kharif,March,3.35,103,30,94,Black,1179,31.9,27.91
Uttar Pradesh,Lucknow,Corn,Rabi,January,6.27,107,69,98,Black,1036,27.0,32.76
Karnataka,Belgaum,Rice,Rabi,November,2.99,79,60,76,Sandy,496,27.9,30.54
Punjab,Patiala,Rice,Kharif,February,6.18,174,39,41,Red,723,25.2,37.44
Punjab,Amritsar,Cotton,Annual,May,9.95,189,89,58,Black,1080,25.0,41.29
Maharashtra,Nashik,Rice,Rabi,February,9.86,153,61,47,Loamy,963,27.7,33.79
Maharashtra,Nashik,Wheat,Zaid,September,1.65,177,58,96,Loamy,1019,24.4,32.94
Maharashtra,Nagpur,Tomato,Annual,November,4.2,107,44,92,Sandy,899,20.1,163.84
Andhra Pradesh,Guntur,Wheat,Zaid,October,5.88,71,48,30,Black,799,27.6,17.56
Tamil Nadu,Madurai,Cotton,Zaid,October,7.08,100,94,94,Black,870,34.9,37.29
Tamil Nadu,Thanjavur,Tomato,Rabi,March,1.03,176,44,75,Red,1200,24.6,245.12
Punjab,Amritsar,Cotton,Zaid,July,1.53,151,86,31,Red,479,23.9,32.48
Uttar Pradesh,Kanpur,Rice,Rabi,May,6.23,169,92,100,Red,516,21.7,47.47
Uttar Pradesh,Lucknow,Rice,Kharif,December,6.72,100,81,63,Black,1162,29.3,37.72
Maharashtra,Nagpur,Wheat,Annual,January,5.32,101,45,58,Sandy,854,33.9,27.94
Maharashtra,Nagpur,Wheat,Zaid,March,4.51,53,45,31,Loamy,442,34.6,19.92
West Bengal,Darjeeling,Rice,Zaid,December,7.86,98,63,46,Sandy,442,33.0,23.62
Punjab,Amritsar,Sugarcane,Rabi,January,6.57,165,56,32,Black,652,21.4,288.51
West Bengal,Darjeeling,Tomato,Kharif,January,6.47,196,81,46,Loamy,665,26.3,226.6
Punjab,Amritsar,Cotton,Annual,November,2.67,74,79,36,Black,604,26.5,22.83
West Bengal,Kolkata,Cotton,Zaid,November,1.7,132,38,33,Black,625,29.3,23.6
Punjab,Patiala,Wheat,Zaid,January,5.14,58,81,91,Clay,1179,26.1,26.32
Uttar Pradesh,Varanasi,Cotton,Zaid,March,4.69,164,52,26,Clay,880,27.9,36.96
Tamil Nadu,Madurai,Rice,Zaid,February,1.04,152,66,48,Clay,1136,30.9,30.56
Maharashtra,Nagpur,Cotton,Annual,December,7.28,66,60,80,Black,925,33.0,27.31
Andhra Pradesh,Nellore,Rice,Zaid,February,4.95,172,99,51,Red,680,31.6,33.72
Maharashtra,Nagpur,Rice,Annual,June,8.58,189,76,98,Black,843,27.2,47.67
Karnataka,Belgaum,Cotton,Kharif,February,8.87,137,82,20,Clay,674,31.6,35.03
Maharashtra,Nagpur,Corn,Annual,February,8.57,118,72,21,Red,996,33.3,31.12
Andhra Pradesh,Kurnool,Rice,Annual,January,4.51,108,87,76,Clay,866,27.1,37.04
Uttar Pradesh,Kanpur,Sugarcane,Rabi,January,1.84,53,95,45,Loamy,1046,21.7,267.31
Tamil Nadu,Thanjavur,Wheat,Rabi,February,3.65,173,79,73,Loamy,676,32.6,38.73
Uttar Pradesh,Kanpur,Rice,Rabi,February,4.93,143,82,21,Red,654,34.4,26.1
Uttar Pradesh,Lucknow,Tomato,Rabi,December,4.17,110,59,35,Clay,1197,28.4,160.65
Punjab,Amritsar,Wheat,Kharif,September,5.13,54,74,30,Loamy,678,33.2,20.45
West Bengal,Howrah,Sugarcane,Zaid,January,3.64,72,89,38,Sandy,626,29.6,287.19
Maharashtra,Pune,Wheat,Zaid,December,5.33,126,71,34,Red,1026,21.8,34.41
Uttar Pradesh,Varanasi,Sugarcane,Annual,November,6.56,92,60,75,Black,600,24.1,323.72
Andhra Pradesh,Nellore,Cotton,Annual,September,4.12,113,43,51,Loamy,1141,29.4,33.83
Maharashtra,Nashik,Tomato,Zaid,September,6.94,99,65,84,Red,601,27.4,202.39
West Bengal,Howrah,Rice,Zaid,October,8.8,64,31,90,Sandy,963,27.0,29.25
Punjab,Patiala,Wheat,Annual,December,6.71,134,71,40,Clay,865,22.8,26.81
Uttar Pradesh,Kanpur,Sugarcane,Rabi,April,4.71,80,55,42,Black,1012,31.5,229.63
Tamil Nadu,Madurai,Rice,Rabi,August,4.5,51,77,39,Black,997,22.6,27.62
Maharashtra,Nagpur,Rice,Rabi,March,8.43,170,77,52,Black,830,34.8,32.0
Punjab,Ludhiana,Wheat,Kharif,June,7.88,90,87,21,Sandy,1137,26.4,25.16
West Bengal,Kolkata,Rice,Rabi,May,8.87,137,87,66,Red,402,30.5,41.31
Karnataka,Belgaum,Tomato,Annual,July,6.85,155,44,74,Red,1122,20.8,180.92
West Bengal,Kolkata,Cotton,Rabi,July,4.58,54,81,71,Sandy,1197,34.9,33.33
Andhra Pradesh,Kurnool,Cotton,Zaid,February,8.22,104,68,99,Sandy,433,27.7,30.03
Uttar Pradesh,Varanasi,Rice,Kharif,June,9.39,73,70,88,Red,1081,34.3,37.21
Tamil Nadu,Madurai,Tomato,Rabi,March,1.85,69,38,74,Sandy,1123,32.0,124.68
Tamil Nadu,Thanjavur,Sugarcane,Annual,July,9.44,181,87,97,Loamy,1070,25.6,398.57
Maharashtra,Nashik,Corn,Annual,August,2.5,100,75,46,Loamy,1161,34.7,23.53
Tamil Nadu,Madurai,Sugarcane,Zaid,May,3.86,71,94,25,Black,898,28.5,257.51
Andhra Pradesh,Kurnool,Rice,Zaid,September,1.62,115,53,39,Red,714,29.7,26.48
Karnataka,Belgaum,Wheat,Annual,July,2.5,125,95,43,Clay,980,20.8,38.79
Karnataka,Mandya,Cotton,Rabi,February,1.01,69,58,51,Red,716,25.6,25.98
Karnataka,Belgaum,Wheat,Rabi,November,8.91,187,37,89,Red,1031,28.7,39.51
Punjab,Amritsar,Wheat,Zaid,May,3.1,179,43,89,Clay,529,32.6,29.36
Punjab,Amritsar,Cotton,Rabi,December,4.91,66,83,96,Loamy,1052,21.8,34.82
Punjab,Patiala,Wheat,Kharif,September,1.04,162,99,86,Black,1128,34.8,46.03
Andhra Pradesh,Nellore,Sugarcane,Zaid,September,5.98,178,75,86,Loamy,435,22.7,396.5
West Bengal,Darjeeling,Tomato,Kharif,April,6.69,172,67,34,Black,607,34.3,225.35
Andhra Pradesh,Kurnool,Sugarcane,Kharif,May,2.58,130,99,48,Red,808,20.1,269.69
